latitude,longitude,acq_date,acq_time,satellite,frp,confidence,daynight,source_class,classification_confidence,industrial_evidence_score,evidence,osm_intersections,osm_nearby_features,nearest_osm_name,nearest_osm_distance_m,nearest_osm_strength
22.43036,69.83382,2026-03-01,2036,N21,0.59,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
22.43116,69.83365,2026-03-02,2018,N21,0.63,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
22.42865,69.83251,2026-03-03,2140,N21,0.82,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,5,SHREE DIGVIJAY CEMENT,0.0,MODERATE
22.33814,69.8543,2026-03-04,2120,N21,3.88,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,42,Reliance Refinery,0.0,STRONG
22.33577,69.85366,2026-03-05,2101,N21,1.5,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,44,Reliance Refinery,0.0,STRONG
22.33673,69.869,2026-03-05,2101,N21,2.84,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,19,Reliance Refinery,0.0,STRONG
22.33905,69.85426,2026-03-05,2101,N21,1.5,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
22.43112,69.83326,2026-03-05,2101,N21,1.2,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
22.40689,69.88313,2026-03-09,858,N21,4.78,n,D,UNKNOWN,LOW,0,,0,0,,,
22.41016,69.8859,2026-03-09,858,N21,5.17,n,D,UNKNOWN,LOW,0,,0,0,,,
22.33847,69.85462,2026-03-09,2125,N21,3.22,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,40,Reliance Refinery,0.0,STRONG
22.42984,69.83475,2026-03-09,2125,N21,1.25,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
22.33586,69.86778,2026-03-10,2108,N21,2.55,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,23,Reliance Refinery,0.0,STRONG
22.3378,69.85616,2026-03-10,2108,N21,3.2,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,38,Reliance Refinery,0.0,STRONG
22.43023,69.83325,2026-03-10,2108,N21,0.93,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
22.34086,69.85392,2026-03-11,2049,N21,2.06,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,31,Reliance Refinery,0.0,STRONG
22.31238,69.85453,2026-03-13,2012,N21,0.99,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,2,Reliance Refinery,0.0,STRONG
22.20038,69.95724,2026-03-14,905,N21,20.71,n,D,UNKNOWN,LOW,0,,0,0,,,
22.40389,69.85317,2026-03-16,826,N21,8.48,n,D,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,943.4539491470094,MODERATE
22.33952,69.85422,2026-03-16,2055,N21,2.39,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
22.39936,69.86004,2026-03-17,807,N21,12.98,n,D,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,274.3979393933029,MODERATE
22.42875,69.83257,2026-03-17,2036,N21,1.21,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
22.20309,69.89776,2026-03-18,750,N21,3.64,n,D,UNKNOWN,LOW,0,,0,0,,,
22.4318,69.99132,2026-03-18,930,N21,24.22,h,D,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,590.9142741419668,MODERATE
22.43491,69.99196,2026-03-18,930,N21,26.69,h,D,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,657.9499943514494,MODERATE
22.32976,69.75134,2026-03-19,2140,N21,1.01,n,N,INDUSTRIAL_ASSOCIATED,HIGH,6,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby,1,37,Vadinar Refinery,0.0,STRONG
22.33289,69.86809,2026-03-19,2140,N21,1.98,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,28,Reliance Refinery,0.0,STRONG
22.34099,69.85595,2026-03-19,2140,N21,1.0,n,N,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,34,Reliance Refinery,0.0,STRONG
22.42703,69.83289,2026-03-19,2140,N21,0.49,n,N,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,5,Sikka,0.0,WEAK
